cn8,hs6,bec4,end_use
01012100,010121,41,Capital
01012910,010129,111,Intermediate
01012990,010129,111,Intermediate
01013000,010130,111,Intermediate
01019000,010190,111,Intermediate
01022110,010221,41,Capital
01022190,010221,41,Capital
01029099,010290,111,Intermediate
01031000,010310,41,Capital
01039110,010391,111,Intermediate
01039190,010391,111,Intermediate
01042090,010420,111,Intermediate
01051111,010511,111,Intermediate
01051119,010511,111,Intermediate
01051191,010511,111,Intermediate
01051199,010511,111,Intermediate
01051200,010512,111,Intermediate
01051300,010513,111,Intermediate
01051400,010514,111,Intermediate
01059400,010594,111,Intermediate
01059910,010599,111,Intermediate
01061100,010611,111,Intermediate
01061200,010612,111,Intermediate
01061300,010613,111,Intermediate
01061410,010614,111,Intermediate
01061490,010614,111,Intermediate
01061900,010619,111,Intermediate
01062000,010620,111,Intermediate
01063100,010631,111,Intermediate
01063200,010632,111,Intermediate
01063910,010639,111,Intermediate
01063980,010639,111,Intermediate
01064100,010641,111,Intermediate
01064900,010649,111,Intermediate
01069000,010690,111,Intermediate
02011000,020110,121,Intermediate
02012020,020120,122,Consumption
02012030,020120,122,Consumption
02012050,020120,122,Consumption
02012090,020120,122,Consumption
02013000,020130,122,Consumption
02021000,020210,121,Intermediate
02022010,020220,122,Consumption
02022030,020220,122,Consumption
02022050,020220,122,Consumption
02022090,020220,122,Consumption
02023010,020230,122,Consumption
02023050,020230,122,Consumption
02023090,020230,122,Consumption
02031110,020311,121,Intermediate
02031190,020311,121,Intermediate
02031211,020312,122,Consumption
02031219,020312,122,Consumption
02031290,020312,122,Consumption
02031911,020319,122,Consumption
02031913,020319,122,Consumption
02031915,020319,122,Consumption
02031955,020319,122,Consumption
02031959,020319,122,Consumption
02031990,020319,122,Consumption
02032110,020321,121,Intermediate
02032190,020321,121,Intermediate
02032211,020322,122,Consumption
02032219,020322,122,Consumption
02032290,020322,122,Consumption
02032911,020329,122,Consumption
02032913,020329,122,Consumption
02032915,020329,122,Consumption
02032955,020329,122,Consumption
02032959,020329,122,Consumption
02032990,020329,122,Consumption
02041000,020410,121,Intermediate
02042100,020421,121,Intermediate
02042210,020422,122,Consumption
02042230,020422,122,Consumption
02042250,020422,122,Consumption
02042290,020422,122,Consumption
02042300,020423,122,Consumption
02043000,020430,121,Intermediate
02044100,020441,121,Intermediate
02044210,020442,122,Consumption
02044230,020442,122,Consumption
02044250,020442,122,Consumption
02044290,020442,122,Consumption
02044310,020443,122,Consumption
02044390,020443,122,Consumption
02045011,020450,122,Consumption
02045015,020450,122,Consumption
02045039,020450,122,Consumption
02045051,020450,122,Consumption
02045053,020450,122,Consumption
02045055,020450,122,Consumption
02045071,020450,122,Consumption
02045079,020450,122,Consumption
02050020,020500,121,Intermediate
02050080,020500,121,Intermediate
02061010,020610,122,Consumption
02061095,020610,122,Consumption
02061098,020610,122,Consumption
02062100,020621,122,Consumption
02062200,020622,122,Consumption
02062910,020629,122,Consumption
02062991,020629,122,Consumption
02062999,020629,122,Consumption
02063000,020630,122,Consumption
02064100,020641,122,Consumption
02064900,020649,122,Consumption
02068099,020680,122,Consumption
02069010,020690,122,Consumption
02069091,020690,122,Consumption
02069099,020690,122,Consumption
02071110,020711,122,Consumption
02071130,020711,122,Consumption
02071190,020711,122,Consumption
02071210,020712,122,Consumption
02071290,020712,122,Consumption
02071310,020713,122,Consumption
02071320,020713,122,Consumption
02071330,020713,122,Consumption
02071340,020713,122,Consumption
02071350,020713,122,Consumption
02071360,020713,122,Consumption
02071370,020713,122,Consumption
02071391,020713,122,Consumption
02071399,020713,122,Consumption
02071410,020714,122,Consumption
02071420,020714,122,Consumption
02071430,020714,122,Consumption
02071440,020714,122,Consumption
02071450,020714,122,Consumption
02071460,020714,122,Consumption
02071470,020714,122,Consumption
02071491,020714,122,Consumption
02071499,020714,122,Consumption
02072410,020724,122,Consumption
02072490,020724,122,Consumption
02072510,020725,122,Consumption
02072590,020725,122,Consumption
02072610,020726,122,Consumption
02072630,020726,122,Consumption
02072640,020726,122,Consumption
02072650,020726,122,Consumption
02072660,020726,122,Consumption
02072670,020726,122,Consumption
02072680,020726,122,Consumption
