cn8,label_short,denomination,cn_year
01012100,Pure-bred breeding horses,Pure-bred breeding horses,2025
01012910,Horses for slaughter,Horses for slaughter,2025
01012990,Live horses,"Live horses (excl. for slaughter, pure-bred for breeding)",2025
01013000,Live asses,Live asses,2025
01019000,Live mules and hinnies,Live mules and hinnies,2025
01022110,"Pure-bred breeding heifers ""female bovines that have never calved""","Pure-bred breeding heifers ""female bovines that have never calved""",2025
01022130,Pure-bred breeding cows,Pure-bred breeding cows (excl. heifers),2025
01022190,Pure-bred cattle for breeding,Pure-bred cattle for breeding (excl. heifers and cows),2025
01022905,Live cattle of the sub-genus Bibos or Poephagus,Live cattle of the sub-genus Bibos or Poephagus (excl. pure-bred for breeding),2025
01022910,Live cattle of a weight <= 80 kg,Live cattle of a weight <= 80 kg (excl. pure-bred for breeding),2025
01022921,Cattle of a weight > 80 kg but <= 160 kg,"Cattle of a weight > 80 kg but <= 160 kg, for slaughter",2025
01022929,Live cattle of a weight > 80 kg but <= 160 kg,"Live cattle of a weight > 80 kg but <= 160 kg (excl. for slaughter, pure-bred for breeding)",2025
01022941,Cattle of a weight > 160 kg but <= 300 kg,"Cattle of a weight > 160 kg but <= 300 kg, for slaughter",2025
01022949,Live cattle of a weight > 160 kg but <= 300 kg,"Live cattle of a weight > 160 kg but <= 300 kg (excl. for slaughter, pure-bred for breeding)",2025
01022951,"Heifers ""female bovines that have never calved"" of a weight > 300 kg","Heifers ""female bovines that have never calved"" of a weight > 300 kg, for slaughter",2025
01022959,"Live heifers ""female bovines that have never calved"" of a weight > 300 kg","Live heifers ""female bovines that have never calved"" of a weight > 300 kg (excl. for slaughter and pure-bred for breeding)",2025
01022961,Cows of a weight > 300 kg,"Cows of a weight > 300 kg, for slaughter (excl. heifers)",2025
01022969,Live cows of a weight > 300 kg,Live cows of a weight > 300 kg (excl. for slaughter and pure-bred for breeding and heifers),2025
01022991,Cattle of a weight > 300 kg,"Cattle of a weight > 300 kg, for slaughter (excl. heifers and cows)",2025
01022999,Live cattle of a weight > 300 kg,"Live cattle of a weight > 300 kg (excl. for slaughter, pure-bred for breeding and heifers and cows)",2025
01023100,Pure-bred buffalo for breeding,Pure-bred buffalo for breeding,2025
01023910,Live domestic buffalo,Live domestic buffalo (excl. pure-bred for breeding),2025
01023990,Live buffalo,Live buffalo (excl. domestic species and pure-bred for breeding),2025
01029020,Bovine pure-bred breeding animals,Bovine pure-bred breeding animals (excl. cattle and buffalo),2025
01029091,Live domestic bovine animals,Live domestic bovine animals (excl. cattle and buffalo and pure-bred for breeding),2025
01029099,Live bovine animals,"Live bovine animals (excl. cattle, buffalo, pure-bred for breeding and domestic species)",2025
01031000,Pure-bred breeding swine,Pure-bred breeding swine,2025
01039110,Domestic swine,"Domestic swine, weighing < 50 kg (excl. pure-bred for breeding)",2025
01039190,Live non-domestic swine,"Live non-domestic swine, weighing < 50 kg",2025
01039211,Live domestic sows,"Live domestic sows, having farrowed at least once, weighing >= 160 kg (excl. pure-bred for breeding)",2025
01039219,Live domestic swine,"Live domestic swine, weighing >= 50 kg (excl. sows having farrowed at least once and weighing >= 160 kg, and those pure-bred for breeding)",2025
01039290,Live non-domestic swine,"Live non-domestic swine, weighing >= 50 kg",2025
01041010,Pure-bred sheep for breeding,Pure-bred sheep for breeding,2025
01041030,"Live lambs ""sheep up to a year old""","Live lambs ""sheep up to a year old"" (excl. purebred breeding animals)",2025
01041080,Live sheep,Live sheep (excl. lambs and pure-bred breeding animals),2025
01042010,Pure-bred breeding goats,Pure-bred breeding goats,2025
01042090,Live goats,Live goats (excl. pure-bred for breeding),2025
01051111,Grandparent and parent female chicks of fowls of the species Gallus domesticus laying stocks of a weight of <= 185 g,Grandparent and parent female chicks of fowls of the species Gallus domesticus laying stocks of a weight of <= 185 g,2025
01051119,Grandparent and parent female chicks fowls of the species Gallus domesticus of a weight of <= 185 g,Grandparent and parent female chicks fowls of the species Gallus domesticus of a weight of <= 185 g (excl. laying stocks),2025
01051191,"Laying stock ""fowls of the species Gallus domesticus"" of a weight of <= 185 g","Laying stock ""fowls of the species Gallus domesticus"" of a weight of <= 185 g (excl. grandparent and parent female chicks)",2025
01051199,Live fowls of the species Gallus domesticus of a weight of <= 185 g,Live fowls of the species Gallus domesticus of a weight of <= 185 g (excl. grandparent and parent female chicks and laying stocks),2025
01051200,Live domestic turkeys,"Live domestic turkeys, weighing <= 185 g",2025
01051300,Live domestic ducks,"Live domestic ducks, weighing <= 185 g",2025
01051400,Live domestic geese,"Live domestic geese, weighing <= 185 g",2025
01051500,Live domestic guinea fowls,"Live domestic guinea fowls, weighing <= 185 g",2025
01059400,Live fowls of the species Gallus domesticus,"Live fowls of the species Gallus domesticus, weighing > 185",2025
01059910,Live domestic ducks,"Live domestic ducks, weighing > 185 g",2025
01059920,Live domestic geese,"Live domestic geese, weighing > 185 g",2025
01059930,Live domestic turkeys,"Live domestic turkeys, weighing > 185 g",2025
01059950,Live domestic guinea fowls,"Live domestic guinea fowls, weighing > 185 g",2025
01061100,Live primates,Live primates,2025
01061200,Live whales,"Live whales, dolphins and porpoises (mammals of the order Cetacea), manatees and dugongs (mammals of the order Sirenia), seals, sea lions and walruses (mammals of the suborder Pinnipedia)",2025
01061300,Live camels and other camelids [Camelidae],Live camels and other camelids [Camelidae],2025
01061410,Live domestic rabbits,Live domestic rabbits,2025
01061490,Live rabbits and hares,Live rabbits and hares (excl. domestic rabbits),2025
01061900,Live mammals,"Live mammals (excl. primates, whales, dolphins and porpoises, manatees and dugongs, seals, sea lions and walruses, camels and other camelids, rabbits and hares, horses, asses, mules, hinnies, bovines, pigs, sheep and goats)",2025
01062000,"Live reptiles ""e.g. snakes","Live reptiles ""e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards""",2025
01063100,Live birds of prey,Live birds of prey,2025
01063200,"Live psittaciformes ""incl. parrots","Live psittaciformes ""incl. parrots, parrakeets, macaws and cockatoos""",2025
01063300,Live ostriches,"Live ostriches, and emus [Dromaius novaehollandiae]",2025
01063910,Live pigeons,Live pigeons,2025
01063980,Live birds,"Live birds (excl. birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ostriches, emus and pigeons)",2025
01064100,Live bees,Live bees,2025
01064900,Live insects,Live insects (excl. bees),2025
01069000,Live animals,"Live animals (excl. mammals, reptiles, birds, insects, fish, crustaceans, molluscs and other aquatic invertebrates and cultures of micro-organisms, etc.)",2025
02011000,Carcases or half-carcases of bovine animals,"Carcases or half-carcases of bovine animals, fresh or chilled",2025
02012020,"""Compensated"" quarters of bovine animals with bone in","""Compensated"" quarters of bovine animals with bone in, fresh or chilled",2025
02012030,Unseparated or separated forequarters of bovine animals,"Unseparated or separated forequarters of bovine animals, with bone in, fresh or chilled",2025
02012050,Unseparated or separated hindquarters of bovine animals,"Unseparated or separated hindquarters of bovine animals, with bone in, fresh or chilled",2025
02012090,Fresh or chilled bovine cuts,"Fresh or chilled bovine cuts, with bone in (excl. carcases and half-carcases, ""compensated quarters"", forequarters and hindquarters)",2025
02013000,Fresh or chilled bovine meat,"Fresh or chilled bovine meat, boneless",2025
02021000,Frozen bovine carcases and half-carcases,Frozen bovine carcases and half-carcases,2025
02022010,"Frozen ""compensated"" bovine quarters","Frozen ""compensated"" bovine quarters, with bone in",2025
02022030,Frozen unseparated or separated bovine forequarters,"Frozen unseparated or separated bovine forequarters, with bone in",2025
02022050,Frozen unseparated or separated bovine hindquarters,"Frozen unseparated or separated bovine hindquarters, with bone in",2025
02022090,Frozen bovine cuts,"Frozen bovine cuts, with bone in (excl. carcases and half-carcases, ""compensated"" quarters, forequarters and hindquarters)",2025
02023010,Frozen bovine boneless forequarters,"Frozen bovine boneless forequarters, whole or cut in max. 5 pieces, each quarter in 1 block, ""compensated"" quarters in 2 blocks, one containing the forequarter, whole or cut in max. 5 pieces, and the other the whole hindquarter, excl. the tenderloin, in one piece",2025
02023050,Frozen bovine boneless crop,"Frozen bovine boneless crop, chuck and blade and brisket cuts",2025
02023090,Frozen bovine boneless meat,"Frozen bovine boneless meat (excl. forequarters, whole or cut into a maximum of five pieces, each quarter being in a single block ""compensated"" quarters in two blocks, one of which contains the forequarter, whole or cut into a maximum of five pieces, and the other, the hindquarter, excl. the tenderloin, in one piece, crop, chuck and blade and brisket cuts)",2025
02031110,Fresh or chilled domestic swine carcases and half-carcases,Fresh or chilled domestic swine carcases and half-carcases,2025
02031190,Fresh or chilled non-domestic swine carcases and half-carcases,Fresh or chilled non-domestic swine carcases and half-carcases,2025
02031211,Fresh or chilled with bone in,"Fresh or chilled with bone in, domestic swine hams and cuts thereof",2025
02031219,Fresh or chilled with bone in,"Fresh or chilled with bone in, domestic swine shoulders and cuts thereof",2025
02031290,Fresh or chilled hams,"Fresh or chilled hams, shoulders and cuts thereof with bone in of non-domestic swine",2025
02031911,Fresh or chilled fore-ends and cuts thereof of domestic swine,Fresh or chilled fore-ends and cuts thereof of domestic swine,2025
02031913,Fresh or chilled loins and cuts thereof of domestic swine,Fresh or chilled loins and cuts thereof of domestic swine,2025
02031915,"Fresh or chilled bellies ""streaky"" and cuts thereof of domestic swine","Fresh or chilled bellies ""streaky"" and cuts thereof of domestic swine",2025
02031955,Fresh or chilled boneless meat of domestic swine,Fresh or chilled boneless meat of domestic swine (excl. bellies and cuts thereof),2025
