cn8,hs6,sitc4,sitc_division,sitc_division_title,sitc_section,sitc_section_title,mapped_via
01012100,010121,0015,00,Live animals,0,Food & live animals,hs2022
01012910,010129,0015,00,Live animals,0,Food & live animals,hs2022
01012990,010129,0015,00,Live animals,0,Food & live animals,hs2022
01013000,010130,0015,00,Live animals,0,Food & live animals,hs2022
01019000,010190,0015,00,Live animals,0,Food & live animals,hs2022
01022110,010221,00111,00,Live animals,0,Food & live animals,hs2022
01022190,010221,00111,00,Live animals,0,Food & live animals,hs2022
01029099,010290,00119,00,Live animals,0,Food & live animals,hs2022
01031000,010310,00131,00,Live animals,0,Food & live animals,hs2022
01039110,010391,00139,00,Live animals,0,Food & live animals,hs2022
01039190,010391,00139,00,Live animals,0,Food & live animals,hs2022
01042090,010420,00122,00,Live animals,0,Food & live animals,hs2022
01051111,010511,00141,00,Live animals,0,Food & live animals,hs2022
01051119,010511,00141,00,Live animals,0,Food & live animals,hs2022
01051191,010511,00141,00,Live animals,0,Food & live animals,hs2022
01051199,010511,00141,00,Live animals,0,Food & live animals,hs2022
01051200,010512,00141,00,Live animals,0,Food & live animals,hs2022
01051300,010513,00141,00,Live animals,0,Food & live animals,hs2022
01051400,010514,00141,00,Live animals,0,Food & live animals,hs2022
01059400,010594,00149,00,Live animals,0,Food & live animals,hs2022
01059910,010599,00149,00,Live animals,0,Food & live animals,hs2022
01061100,010611,0019,00,Live animals,0,Food & live animals,hs2022
01061200,010612,0019,00,Live animals,0,Food & live animals,hs2022
01061300,010613,0019,00,Live animals,0,Food & live animals,hs2022
01061410,010614,0019,00,Live animals,0,Food & live animals,hs2022
01061490,010614,0019,00,Live animals,0,Food & live animals,hs2022
01061900,010619,0019,00,Live animals,0,Food & live animals,hs2022
01062000,010620,0019,00,Live animals,0,Food & live animals,hs2022
01063100,010631,0019,00,Live animals,0,Food & live animals,hs2022
01063200,010632,0019,00,Live animals,0,Food & live animals,hs2022
01063910,010639,0019,00,Live animals,0,Food & live animals,hs2022
01063980,010639,0019,00,Live animals,0,Food & live animals,hs2022
01064100,010641,0019,00,Live animals,0,Food & live animals,hs2022
01064900,010649,0019,00,Live animals,0,Food & live animals,hs2022
01069000,010690,0019,00,Live animals,0,Food & live animals,hs2022
02011000,020110,01111,01,Meat & preparations,0,Food & live animals,hs2022
02012020,020120,01111,01,Meat & preparations,0,Food & live animals,hs2022
02012030,020120,01111,01,Meat & preparations,0,Food & live animals,hs2022
02012050,020120,01111,01,Meat & preparations,0,Food & live animals,hs2022
02012090,020120,01111,01,Meat & preparations,0,Food & live animals,hs2022
02013000,020130,01112,01,Meat & preparations,0,Food & live animals,hs2022
02021000,020210,01121,01,Meat & preparations,0,Food & live animals,hs2022
02022010,020220,01121,01,Meat & preparations,0,Food & live animals,hs2022
02022030,020220,01121,01,Meat & preparations,0,Food & live animals,hs2022
02022050,020220,01121,01,Meat & preparations,0,Food & live animals,hs2022
02022090,020220,01121,01,Meat & preparations,0,Food & live animals,hs2022
02023010,020230,01122,01,Meat & preparations,0,Food & live animals,hs2022
02023050,020230,01122,01,Meat & preparations,0,Food & live animals,hs2022
02023090,020230,01122,01,Meat & preparations,0,Food & live animals,hs2022
02031110,020311,01221,01,Meat & preparations,0,Food & live animals,hs2022
02031190,020311,01221,01,Meat & preparations,0,Food & live animals,hs2022
02031211,020312,01221,01,Meat & preparations,0,Food & live animals,hs2022
02031219,020312,01221,01,Meat & preparations,0,Food & live animals,hs2022
02031290,020312,01221,01,Meat & preparations,0,Food & live animals,hs2022
02031911,020319,01221,01,Meat & preparations,0,Food & live animals,hs2022
02031913,020319,01221,01,Meat & preparations,0,Food & live animals,hs2022
02031915,020319,01221,01,Meat & preparations,0,Food & live animals,hs2022
02031955,020319,01221,01,Meat & preparations,0,Food & live animals,hs2022
02031959,020319,01221,01,Meat & preparations,0,Food & live animals,hs2022
02031990,020319,01221,01,Meat & preparations,0,Food & live animals,hs2022
02032110,020321,01222,01,Meat & preparations,0,Food & live animals,hs2022
02032190,020321,01222,01,Meat & preparations,0,Food & live animals,hs2022
02032211,020322,01222,01,Meat & preparations,0,Food & live animals,hs2022
02032219,020322,01222,01,Meat & preparations,0,Food & live animals,hs2022
02032290,020322,01222,01,Meat & preparations,0,Food & live animals,hs2022
02032911,020329,01222,01,Meat & preparations,0,Food & live animals,hs2022
02032913,020329,01222,01,Meat & preparations,0,Food & live animals,hs2022
02032915,020329,01222,01,Meat & preparations,0,Food & live animals,hs2022
02032955,020329,01222,01,Meat & preparations,0,Food & live animals,hs2022
02032959,020329,01222,01,Meat & preparations,0,Food & live animals,hs2022
02032990,020329,01222,01,Meat & preparations,0,Food & live animals,hs2022
02041000,020410,01211,01,Meat & preparations,0,Food & live animals,hs2022
02042100,020421,01211,01,Meat & preparations,0,Food & live animals,hs2022
02042210,020422,01211,01,Meat & preparations,0,Food & live animals,hs2022
02042230,020422,01211,01,Meat & preparations,0,Food & live animals,hs2022
02042250,020422,01211,01,Meat & preparations,0,Food & live animals,hs2022
02042290,020422,01211,01,Meat & preparations,0,Food & live animals,hs2022
02042300,020423,01211,01,Meat & preparations,0,Food & live animals,hs2022
02043000,020430,01212,01,Meat & preparations,0,Food & live animals,hs2022
02044100,020441,01212,01,Meat & preparations,0,Food & live animals,hs2022
02044210,020442,01212,01,Meat & preparations,0,Food & live animals,hs2022
02044230,020442,01212,01,Meat & preparations,0,Food & live animals,hs2022
02044250,020442,01212,01,Meat & preparations,0,Food & live animals,hs2022
02044290,020442,01212,01,Meat & preparations,0,Food & live animals,hs2022
02044310,020443,01212,01,Meat & preparations,0,Food & live animals,hs2022
02044390,020443,01212,01,Meat & preparations,0,Food & live animals,hs2022
02045011,020450,01213,01,Meat & preparations,0,Food & live animals,hs2022
02045015,020450,01213,01,Meat & preparations,0,Food & live animals,hs2022
02045039,020450,01213,01,Meat & preparations,0,Food & live animals,hs2022
02045051,020450,01213,01,Meat & preparations,0,Food & live animals,hs2022
02045053,020450,01213,01,Meat & preparations,0,Food & live animals,hs2022
02045055,020450,01213,01,Meat & preparations,0,Food & live animals,hs2022
02045071,020450,01213,01,Meat & preparations,0,Food & live animals,hs2022
02045079,020450,01213,01,Meat & preparations,0,Food & live animals,hs2022
02050020,020500,0124,01,Meat & preparations,0,Food & live animals,hs2022
02050080,020500,0124,01,Meat & preparations,0,Food & live animals,hs2022
02061010,020610,01251,01,Meat & preparations,0,Food & live animals,hs2022
02061095,020610,01251,01,Meat & preparations,0,Food & live animals,hs2022
02061098,020610,01251,01,Meat & preparations,0,Food & live animals,hs2022
02062100,020621,01252,01,Meat & preparations,0,Food & live animals,hs2022
02062200,020622,01252,01,Meat & preparations,0,Food & live animals,hs2022
02062910,020629,01252,01,Meat & preparations,0,Food & live animals,hs2022
02062991,020629,01252,01,Meat & preparations,0,Food & live animals,hs2022
02062999,020629,01252,01,Meat & preparations,0,Food & live animals,hs2022
02063000,020630,01253,01,Meat & preparations,0,Food & live animals,hs2022
02064100,020641,01254,01,Meat & preparations,0,Food & live animals,hs2022
02064900,020649,01254,01,Meat & preparations,0,Food & live animals,hs2022
02068099,020680,01255,01,Meat & preparations,0,Food & live animals,hs2022
02069010,020690,01256,01,Meat & preparations,0,Food & live animals,hs2022
02069091,020690,01256,01,Meat & preparations,0,Food & live animals,hs2022
02069099,020690,01256,01,Meat & preparations,0,Food & live animals,hs2022
02071110,020711,01231,01,Meat & preparations,0,Food & live animals,hs2022
02071130,020711,01231,01,Meat & preparations,0,Food & live animals,hs2022
02071190,020711,01231,01,Meat & preparations,0,Food & live animals,hs2022
02071210,020712,01232,01,Meat & preparations,0,Food & live animals,hs2022
02071290,020712,01232,01,Meat & preparations,0,Food & live animals,hs2022
02071310,020713,01234,01,Meat & preparations,0,Food & live animals,hs2022
02071320,020713,01234,01,Meat & preparations,0,Food & live animals,hs2022
02071330,020713,01234,01,Meat & preparations,0,Food & live animals,hs2022
02071340,020713,01234,01,Meat & preparations,0,Food & live animals,hs2022
02071350,020713,01234,01,Meat & preparations,0,Food & live animals,hs2022
02071360,020713,01234,01,Meat & preparations,0,Food & live animals,hs2022
02071370,020713,01234,01,Meat & preparations,0,Food & live animals,hs2022
02071391,020713,01234,01,Meat & preparations,0,Food & live animals,hs2022
02071399,020713,01234,01,Meat & preparations,0,Food & live animals,hs2022
02071410,020714,01235,01,Meat & preparations,0,Food & live animals,hs2022
02071420,020714,01235,01,Meat & preparations,0,Food & live animals,hs2022
02071430,020714,01235,01,Meat & preparations,0,Food & live animals,hs2022
02071440,020714,01235,01,Meat & preparations,0,Food & live animals,hs2022
02071450,020714,01235,01,Meat & preparations,0,Food & live animals,hs2022
02071460,020714,01235,01,Meat & preparations,0,Food & live animals,hs2022
02071470,020714,01235,01,Meat & preparations,0,Food & live animals,hs2022
02071491,020714,01235,01,Meat & preparations,0,Food & live animals,hs2022
02071499,020714,01235,01,Meat & preparations,0,Food & live animals,hs2022
02072410,020724,01231,01,Meat & preparations,0,Food & live animals,hs2022
02072490,020724,01231,01,Meat & preparations,0,Food & live animals,hs2022
02072510,020725,01232,01,Meat & preparations,0,Food & live animals,hs2022
02072590,020725,01232,01,Meat & preparations,0,Food & live animals,hs2022
02072610,020726,01234,01,Meat & preparations,0,Food & live animals,hs2022
02072630,020726,01234,01,Meat & preparations,0,Food & live animals,hs2022
02072640,020726,01234,01,Meat & preparations,0,Food & live animals,hs2022
02072650,020726,01234,01,Meat & preparations,0,Food & live animals,hs2022
02072660,020726,01234,01,Meat & preparations,0,Food & live animals,hs2022
02072670,020726,01234,01,Meat & preparations,0,Food & live animals,hs2022
02072680,020726,01234,01,Meat & preparations,0,Food & live animals,hs2022
02072691,020726,01234,01,Meat & preparations,0,Food & live animals,hs2022
02072699,020726,01234,01,Meat & preparations,0,Food & live animals,hs2022
02072710,020727,01235,01,Meat & preparations,0,Food & live animals,hs2022
02072730,020727,01235,01,Meat & preparations,0,Food & live animals,hs2022
02072740,020727,01235,01,Meat & preparations,0,Food & live animals,hs2022
02072750,020727,01235,01,Meat & preparations,0,Food & live animals,hs2022
